pipeline,cv_score,generation,holdout_score,holdout_roc_auc_score
"MultinomialNB(input_matrix, MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)",0.7805105695317959,0,0.7104776579352851,0.7993836671802774
"MultinomialNB(Normalizer(input_matrix, Normalizer__norm=l2), MultinomialNB__alpha=0.01, MultinomialNB__fit_prior=False)",0.782067610062893,0,0.7104776579352851,0.7998972778633795
"MultinomialNB(input_matrix, MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)",0.7805105695317959,1,0.7104776579352851,0.7993836671802774
"MultinomialNB(Normalizer(input_matrix, Normalizer__norm=l2), MultinomialNB__alpha=0.01, MultinomialNB__fit_prior=False)",0.782067610062893,1,0.7104776579352851,0.7998972778633795
"MultinomialNB(input_matrix, MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)",0.7805105695317959,2,0.7104776579352851,0.7993836671802774
"MultinomialNB(GradientBoostingClassifier(input_matrix, GradientBoostingClassifier__learning_rate=0.1, GradientBoostingClassifier__max_depth=1, GradientBoostingClassifier__max_features=0.25, GradientBoostingClassifier__min_samples_leaf=18, GradientBoostingClassifier__min_samples_split=7, GradientBoostingClassifier__n_estimators=100, GradientBoostingClassifier__subsample=0.45), MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)",0.7935150244584206,2,0.7126861838726246,0.7988700564971751
"MultinomialNB(input_matrix, MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)",0.7805105695317959,3,0.7104776579352851,0.7993836671802774
"MultinomialNB(GradientBoostingClassifier(input_matrix, GradientBoostingClassifier__learning_rate=0.1, GradientBoostingClassifier__max_depth=1, GradientBoostingClassifier__max_features=0.25, GradientBoostingClassifier__min_samples_leaf=18, GradientBoostingClassifier__min_samples_split=7, GradientBoostingClassifier__n_estimators=100, GradientBoostingClassifier__subsample=0.45), MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)",0.7935150244584206,3,0.7007704160246533,0.8049306625577812
"MultinomialNB(input_matrix, MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)",0.7805105695317959,4,0.7104776579352851,0.7993836671802774
"MultinomialNB(GradientBoostingClassifier(input_matrix, GradientBoostingClassifier__learning_rate=0.1, GradientBoostingClassifier__max_depth=1, GradientBoostingClassifier__max_features=0.25, GradientBoostingClassifier__min_samples_leaf=18, GradientBoostingClassifier__min_samples_split=7, GradientBoostingClassifier__n_estimators=100, GradientBoostingClassifier__subsample=0.45), MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)",0.7935150244584206,4,0.7098613251155623,0.8048279404211608
"MultinomialNB(input_matrix, MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)",0.7805105695317959,5,0.7104776579352851,0.7993836671802774
"MultinomialNB(GradientBoostingClassifier(input_matrix, GradientBoostingClassifier__learning_rate=0.1, GradientBoostingClassifier__max_depth=1, GradientBoostingClassifier__max_features=0.25, GradientBoostingClassifier__min_samples_leaf=18, GradientBoostingClassifier__min_samples_split=7, GradientBoostingClassifier__n_estimators=100, GradientBoostingClassifier__subsample=0.45), MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)",0.7935150244584206,5,0.7189522342064715,0.8043143297380585
"MultinomialNB(GradientBoostingClassifier(MultinomialNB(input_matrix, MultinomialNB__alpha=100.0, MultinomialNB__fit_prior=False), GradientBoostingClassifier__learning_rate=0.1, GradientBoostingClassifier__max_depth=1, GradientBoostingClassifier__max_features=0.25, GradientBoostingClassifier__min_samples_leaf=18, GradientBoostingClassifier__min_samples_split=7, GradientBoostingClassifier__n_estimators=100, GradientBoostingClassifier__subsample=0.45), MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)",0.8021955800139763,5,0.7126861838726246,0.8047252182845404
"MultinomialNB(input_matrix, MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)",0.7805105695317959,6,0.7104776579352851,0.7993836671802774
"MultinomialNB(GradientBoostingClassifier(input_matrix, GradientBoostingClassifier__learning_rate=0.1, GradientBoostingClassifier__max_depth=1, GradientBoostingClassifier__max_features=0.25, GradientBoostingClassifier__min_samples_leaf=18, GradientBoostingClassifier__min_samples_split=7, GradientBoostingClassifier__n_estimators=100, GradientBoostingClassifier__subsample=0.45), MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)",0.7935150244584206,6,0.7098613251155623,0.8047252182845404
"MultinomialNB(GradientBoostingClassifier(MultinomialNB(input_matrix, MultinomialNB__alpha=100.0, MultinomialNB__fit_prior=False), GradientBoostingClassifier__learning_rate=0.1, GradientBoostingClassifier__max_depth=1, GradientBoostingClassifier__max_features=0.25, GradientBoostingClassifier__min_samples_leaf=18, GradientBoostingClassifier__min_samples_split=7, GradientBoostingClassifier__n_estimators=100, GradientBoostingClassifier__subsample=0.45), MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)",0.8021955800139763,6,0.7217770929635337,0.8060606060606061
"MultinomialNB(input_matrix, MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)",0.7805105695317959,7,0.7104776579352851,0.7993836671802774
"MultinomialNB(GradientBoostingClassifier(input_matrix, GradientBoostingClassifier__learning_rate=0.1, GradientBoostingClassifier__max_depth=1, GradientBoostingClassifier__max_features=0.25, GradientBoostingClassifier__min_samples_leaf=18, GradientBoostingClassifier__min_samples_split=7, GradientBoostingClassifier__n_estimators=100, GradientBoostingClassifier__subsample=0.45), MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)",0.7935150244584206,7,0.7126861838726246,0.8008217770929635
