gen,usage
0,489.91015625
1,489.91015625
2,489.91015625
3,489.91015625
4,489.91015625
5,508.33203125
6,493.03125
7,511.69140625
8,511.69140625
9,476.84375
10,512.88671875
11,492.875
12,508.33203125
13,460.58984375
14,460.58984375
15,460.58984375
16,460.33203125
17,492.96875
18,478.4921875
19,460.27734375
20,492.109375
21,486.00390625
22,486.00390625
23,457.515625
24,457.515625
25,502.609375
26,461.171875
27,461.171875
28,461.171875
29,460.27734375
30,460.27734375
31,508.40625
32,476.20703125
33,476.20703125
34,476.20703125
35,476.20703125
36,476.20703125
37,476.20703125
38,476.20703125
39,476.20703125
40,476.20703125
41,476.20703125
42,465.70703125
43,478.4921875
44,469.54296875
45,469.54296875
46,485.35546875
47,502.609375
48,502.609375
49,460.33203125
50,460.33203125
51,462.94921875
52,485.2109375
53,460.33203125
54,460.33203125
55,460.33203125
56,460.33203125
57,460.33203125
58,460.4375
59,460.4375
60,503.57421875
61,503.57421875
62,503.57421875
63,503.57421875
64,503.57421875
65,503.57421875
66,503.57421875
67,503.57421875
68,485.35546875
69,485.35546875
70,485.35546875
71,485.35546875
72,485.35546875
73,485.35546875
74,485.35546875
75,489.5625
76,489.5625
77,489.5625
78,489.5625
79,489.5625
80,501.44921875
81,501.44921875
82,501.44921875
83,501.44921875
84,501.44921875
85,501.44921875
86,461.05859375
87,461.05859375
88,461.05859375
89,502.609375
90,460.59765625
91,460.3515625
92,495.96484375
93,495.96484375
94,495.96484375
95,495.96484375
96,495.96484375
97,495.96484375
98,495.96484375
99,460.54296875
100,507.5859375
