gen,usage
0,328.078125
1,328.078125
2,328.078125
3,332.51171875
4,332.51171875
5,332.51171875
6,332.51171875
7,309.1484375
8,309.1484375
9,309.1484375
10,309.1484375
11,309.1484375
12,309.1484375
13,309.1484375
14,284.86328125
15,298.15234375
16,298.15234375
17,326.7109375
18,326.7109375
19,285.6328125
20,289.07421875
21,284.66796875
22,284.66796875
23,304.27734375
24,304.27734375
25,286.33984375
26,285.890625
27,310.48046875
28,285.8828125
29,290.81640625
30,290.984375
31,290.984375
32,290.984375
33,289.06640625
34,326.33203125
35,326.33203125
36,326.33203125
37,326.33203125
38,334.54296875
39,334.54296875
40,285.10546875
41,327.2734375
42,330.6953125
43,330.6953125
44,283.953125
45,284.2109375
46,287.19140625
47,287.05859375
48,290.9453125
49,290.9453125
50,326.7265625
51,326.7265625
52,284.0859375
53,284.0859375
54,284.0859375
55,284.92578125
56,328.2265625
57,339.1171875
58,339.1171875
59,304.56640625
60,304.56640625
61,304.56640625
62,304.56640625
63,304.56640625
64,304.56640625
65,304.56640625
66,304.56640625
67,304.56640625
68,304.56640625
69,304.56640625
70,304.56640625
71,304.56640625
72,304.56640625
73,304.56640625
74,304.56640625
75,304.56640625
76,304.56640625
77,304.56640625
78,304.56640625
79,304.56640625
80,304.56640625
81,304.56640625
82,304.56640625
83,304.56640625
84,304.56640625
85,310.859375
86,310.859375
87,286.57421875
88,286.57421875
89,309.3046875
90,309.3046875
91,286.45703125
92,286.45703125
93,305.30859375
94,305.30859375
95,305.30859375
96,305.30859375
97,305.3125
98,305.3125
99,305.3125
100,319.11328125
