pipeline,cv_score,generation,holdout_score,holdout_roc_auc_score
"MultinomialNB(input_matrix, MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)",0.7805105695317959,0,0.7104776579352851,0.7993836671802774
"MultinomialNB(input_matrix, MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)",0.7805105695317959,1,0.7104776579352851,0.7993836671802774
"BernoulliNB(XGBClassifier(input_matrix, XGBClassifier__learning_rate=0.01, XGBClassifier__max_depth=9, XGBClassifier__min_child_weight=14, XGBClassifier__n_estimators=100, XGBClassifier__n_jobs=1, XGBClassifier__subsample=0.45, XGBClassifier__verbosity=0), BernoulliNB__alpha=0.01, BernoulliNB__fit_prior=False)",0.7829935359888189,1,0.7148947098099641,0.7901386748844377
"MultinomialNB(input_matrix, MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)",0.7805105695317959,2,0.7104776579352851,0.7993836671802774
"BernoulliNB(XGBClassifier(input_matrix, XGBClassifier__learning_rate=0.01, XGBClassifier__max_depth=9, XGBClassifier__min_child_weight=14, XGBClassifier__n_estimators=100, XGBClassifier__n_jobs=1, XGBClassifier__subsample=0.45, XGBClassifier__verbosity=0), BernoulliNB__alpha=0.01, BernoulliNB__fit_prior=False)",0.7829935359888189,2,0.7148947098099641,0.7901386748844377
"MultinomialNB(input_matrix, MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)",0.7805105695317959,3,0.7104776579352851,0.7993836671802774
"MultinomialNB(RFE(input_matrix, RFE__ExtraTreesClassifier__criterion=entropy, RFE__ExtraTreesClassifier__max_features=0.05, RFE__ExtraTreesClassifier__n_estimators=100, RFE__step=0.8500000000000001), MultinomialNB__alpha=0.001, MultinomialNB__fit_prior=False)",0.786425139762404,3,0.7223934257832563,0.7958911145351822
"MultinomialNB(input_matrix, MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)",0.7805105695317959,4,0.7104776579352851,0.7993836671802774
"MultinomialNB(RFE(input_matrix, RFE__ExtraTreesClassifier__criterion=entropy, RFE__ExtraTreesClassifier__max_features=0.05, RFE__ExtraTreesClassifier__n_estimators=100, RFE__step=0.8500000000000001), MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)",0.7873860062893081,4,0.7145351823317925,0.7907550077041603
"MultinomialNB(MLPClassifier(RFE(input_matrix, RFE__ExtraTreesClassifier__criterion=entropy, RFE__ExtraTreesClassifier__max_features=0.05, RFE__ExtraTreesClassifier__n_estimators=100, RFE__step=0.8500000000000001), MLPClassifier__alpha=0.1, MLPClassifier__learning_rate_init=1.0), MultinomialNB__alpha=0.001, MultinomialNB__fit_prior=False)",0.7887168064290707,4,0.7110939907550078,0.792295839753467
"MultinomialNB(input_matrix, MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)",0.7805105695317959,5,0.7104776579352851,0.7993836671802774
"MultinomialNB(RFE(input_matrix, RFE__ExtraTreesClassifier__criterion=entropy, RFE__ExtraTreesClassifier__max_features=0.05, RFE__ExtraTreesClassifier__n_estimators=100, RFE__step=0.8), MultinomialNB__alpha=0.001, MultinomialNB__fit_prior=False)",0.7984390286512928,5,0.7054442732408834,0.7916795069337441
"MultinomialNB(input_matrix, MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)",0.7805105695317959,6,0.7104776579352851,0.7993836671802774
"MultinomialNB(RFE(input_matrix, RFE__ExtraTreesClassifier__criterion=entropy, RFE__ExtraTreesClassifier__max_features=0.05, RFE__ExtraTreesClassifier__n_estimators=100, RFE__step=0.8), MultinomialNB__alpha=0.001, MultinomialNB__fit_prior=False)",0.7984390286512928,6,0.7195685670261942,0.7908577298407808
"MultinomialNB(MinMaxScaler(RandomForestClassifier(input_matrix, RandomForestClassifier__bootstrap=True, RandomForestClassifier__criterion=gini, RandomForestClassifier__max_features=1.0, RandomForestClassifier__min_samples_leaf=17, RandomForestClassifier__min_samples_split=14, RandomForestClassifier__n_estimators=100)), MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)",0.8068304507337526,6,0.7029789419619927,0.7958911145351825
"MultinomialNB(input_matrix, MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)",0.7805105695317959,7,0.7104776579352851,0.7993836671802774
"MultinomialNB(RFE(input_matrix, RFE__ExtraTreesClassifier__criterion=entropy, RFE__ExtraTreesClassifier__max_features=0.05, RFE__ExtraTreesClassifier__n_estimators=100, RFE__step=0.45), MultinomialNB__alpha=0.001, MultinomialNB__fit_prior=False)",0.8055974842767295,7,0.7236260914227016,0.7862352336928609
"MultinomialNB(MinMaxScaler(RandomForestClassifier(input_matrix, RandomForestClassifier__bootstrap=True, RandomForestClassifier__criterion=gini, RandomForestClassifier__max_features=1.0, RandomForestClassifier__min_samples_leaf=17, RandomForestClassifier__min_samples_split=14, RandomForestClassifier__n_estimators=100)), MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)",0.8068304507337526,7,0.7029789419619927,0.7988700564971752
"MultinomialNB(input_matrix, MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)",0.7805105695317959,8,0.7104776579352851,0.7993836671802774
"MultinomialNB(RFE(input_matrix, RFE__ExtraTreesClassifier__criterion=entropy, RFE__ExtraTreesClassifier__max_features=0.05, RFE__ExtraTreesClassifier__n_estimators=100, RFE__step=0.45), MultinomialNB__alpha=0.001, MultinomialNB__fit_prior=False)",0.8055974842767295,8,0.7054442732408834,0.7913713405238829
"MultinomialNB(MinMaxScaler(RandomForestClassifier(input_matrix, RandomForestClassifier__bootstrap=True, RandomForestClassifier__criterion=gini, RandomForestClassifier__max_features=1.0, RandomForestClassifier__min_samples_leaf=17, RandomForestClassifier__min_samples_split=14, RandomForestClassifier__n_estimators=100)), MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)",0.8068304507337526,8,0.7001540832049307,0.8004108885464818
"MultinomialNB(input_matrix, MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)",0.7805105695317959,9,0.7104776579352851,0.7993836671802774
"MultinomialNB(RFE(input_matrix, RFE__ExtraTreesClassifier__criterion=entropy, RFE__ExtraTreesClassifier__max_features=0.05, RFE__ExtraTreesClassifier__n_estimators=100, RFE__step=0.45), MultinomialNB__alpha=0.001, MultinomialNB__fit_prior=False)",0.8055974842767295,9,0.7026194144838213,0.7883923985618901
"MultinomialNB(MinMaxScaler(RandomForestClassifier(input_matrix, RandomForestClassifier__bootstrap=True, RandomForestClassifier__criterion=gini, RandomForestClassifier__max_features=1.0, RandomForestClassifier__min_samples_leaf=17, RandomForestClassifier__min_samples_split=14, RandomForestClassifier__n_estimators=100)), MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)",0.8068304507337526,9,0.7029789419619927,0.800924499229584
"MultinomialNB(input_matrix, MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)",0.7805105695317959,10,0.7104776579352851,0.7993836671802774
"MultinomialNB(RFE(input_matrix, RFE__ExtraTreesClassifier__criterion=entropy, RFE__ExtraTreesClassifier__max_features=0.05, RFE__ExtraTreesClassifier__n_estimators=100, RFE__step=0.45), MultinomialNB__alpha=0.001, MultinomialNB__fit_prior=False)",0.8055974842767295,10,0.7054442732408834,0.7891114535182332
"MultinomialNB(MinMaxScaler(RandomForestClassifier(input_matrix, RandomForestClassifier__bootstrap=True, RandomForestClassifier__criterion=gini, RandomForestClassifier__max_features=1.0, RandomForestClassifier__min_samples_leaf=17, RandomForestClassifier__min_samples_split=14, RandomForestClassifier__n_estimators=100)), MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)",0.8068304507337526,10,0.705803800719055,0.7975346687211095
"MultinomialNB(input_matrix, MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)",0.7805105695317959,11,0.7104776579352851,0.7993836671802774
