gen,usage
0,361.86328125
1,363.10546875
2,384.22265625
3,384.22265625
4,384.22265625
5,384.22265625
6,384.22265625
7,384.22265625
8,409.828125
9,409.828125
10,360.734375
11,363.57421875
12,365.09765625
13,365.09765625
14,388.99609375
15,378.09765625
16,378.25390625
17,400.375
18,400.375
19,400.375
20,365.0625
21,365.0625
22,365.09765625
23,366.0859375
24,364.734375
25,364.734375
26,403.33203125
27,364.734375
28,364.734375
29,364.734375
30,364.734375
31,367.39453125
32,403.33203125
33,403.33203125
34,403.33203125
35,403.33203125
36,403.33203125
37,403.33203125
38,403.33203125
39,403.33203125
40,403.33203125
41,403.33203125
42,403.33203125
43,403.33203125
44,403.33203125
45,403.33203125
46,366.37109375
47,418.93359375
48,372.59765625
49,379.9140625
50,374.6171875
51,371.80859375
52,380.3984375
53,381.71484375
54,381.71484375
55,373.05078125
56,370.9765625
57,419.1640625
58,419.1640625
59,419.1640625
60,419.1640625
61,419.1640625
62,419.1640625
63,419.1640625
64,419.1640625
65,418.01171875
66,419.1640625
67,419.1640625
68,419.1640625
69,384.52734375
70,384.52734375
71,412.6953125
72,419.1640625
73,419.1640625
74,366.9921875
75,366.9921875
76,392.89453125
77,410.328125
78,410.3359375
79,410.3359375
80,410.3359375
81,410.3359375
82,367.77734375
83,367.77734375
84,419.3671875
85,419.3671875
86,419.3671875
87,419.3671875
88,419.37109375
89,419.37109375
90,419.37109375
91,412.9140625
92,412.9140625
93,412.9140625
94,412.9140625
95,400.76171875
96,419.37109375
97,419.37109375
98,419.37109375
99,419.37109375
100,359.609375
