gen,usage
0,329.60546875
1,277.37109375
2,332.421875
3,332.421875
4,332.421875
5,332.421875
6,333.52734375
7,336.91796875
8,284.1875
9,284.1875
10,333.52734375
11,286.953125
12,286.953125
13,286.953125
14,286.953125
15,286.953125
16,286.953125
17,284.29296875
18,332.421875
19,332.421875
20,332.421875
21,332.421875
22,289.9296875
23,289.9296875
24,301.51171875
25,320.125
26,289.9375
27,286.953125
28,320.125
29,320.125
30,320.125
31,320.125
32,320.125
33,289.9296875
34,301.51171875
35,301.51171875
36,301.51171875
37,301.51171875
38,301.51171875
39,290.75390625
40,290.75390625
41,290.75390625
42,290.75390625
43,290.75390625
44,290.75390625
45,290.75390625
46,331.26953125
47,331.26953125
48,331.26953125
49,331.26953125
50,331.26953125
51,331.26953125
52,331.26953125
53,331.26953125
54,331.26953125
55,331.26953125
56,331.26953125
57,300.7734375
58,300.7734375
59,300.7734375
60,300.7734375
61,300.7734375
62,300.7734375
63,321.51953125
64,321.51953125
65,321.51953125
66,321.51953125
67,321.51953125
68,321.51953125
69,321.51953125
70,321.51953125
71,321.51953125
72,321.51953125
73,321.51953125
74,321.51953125
75,321.51953125
76,321.51953125
77,321.51953125
78,321.51953125
79,321.51953125
80,321.51953125
81,321.51953125
82,321.51953125
83,321.51953125
84,321.51953125
85,290.01171875
86,333.125
87,333.125
88,333.125
89,333.125
90,333.125
91,320.3671875
92,320.3671875
93,326.70703125
94,326.70703125
95,326.70703125
96,326.70703125
97,326.70703125
98,284.69140625
99,328.078125
100,328.078125
