operator_count,score,generation
1.0,0.6212500000000001,0
1.0,0.51375,0
2.0,0.5374999999999999,0
2.0,0.53875,0
1.0,0.725,0
2.0,0.5850000000000001,0
2.0,0.53375,0
2.0,0.5399999999999999,0
2.0,0.695,0
2.0,0.58625,0
2.0,0.7575,0
1.0,0.6637500000000001,0
2.0,0.7537499999999999,0
1.0,0.5737500000000001,0
2.0,0.6950000000000001,0
2.0,0.52375,0
2.0,0.525,0
2.0,0.5275,0
2.0,0.52125,0
1.0,0.75875,0
1.0,0.50625,0
2.0,0.56125,0
1.0,0.47375,0
1.0,0.49750000000000005,0
2.0,0.5962500000000001,0
1.0,0.6012500000000001,0
1.0,0.56125,0
1.0,0.4887499999999999,0
2.0,0.49749999999999994,0
1.0,0.50375,0
1.0,0.635,0
2.0,0.5137500000000002,0
1.0,0.48500000000000004,0
1.0,0.49750000000000005,0
1.0,0.6024999999999999,0
1.0,0.5137500000000002,0
2.0,0.83125,0
2.0,0.77,0
2.0,0.5387500000000001,0
2.0,0.5025,0
3.0,0.505,1
2.0,0.5725,1
3.0,0.57875,1
1.0,0.495,1
1.0,0.48500000000000004,1
2.0,0.49000000000000005,1
1.0,0.5025,1
1.0,0.64625,1
2.0,0.49750000000000005,1
2.0,0.5312500000000001,1
2.0,0.75125,1
2.0,0.7175,1
2.0,0.7375,1
2.0,0.5025,1
1.0,0.48375,1
3.0,0.7662500000000001,1
1.0,0.72875,1
2.0,0.5700000000000001,1
3.0,0.5375,1
1.0,0.64625,1
2.0,0.5,1
2.0,0.66625,1
1.0,0.55125,1
2.0,0.5862499999999999,1
1.0,0.5037499999999999,1
1.0,0.51375,1
1.0,0.52,1
1.0,0.6825,1
1.0,0.6787500000000002,1
3.0,0.7699999999999999,1
1.0,0.6787500000000002,1
1.0,0.7037500000000001,1
1.0,0.49750000000000005,1
3.0,0.7137500000000001,1
1.0,0.49750000000000005,1
2.0,0.7625,1
1.0,0.5087499999999999,1
1.0,0.49750000000000005,1
1.0,0.7325000000000002,1
2.0,0.57625,1
2.0,0.5362500000000001,2
2.0,0.8075000000000001,2
2.0,0.775,2
3.0,0.8149999999999998,2
2.0,0.82125,2
2.0,0.7924999999999999,2
3.0,0.81375,2
3.0,0.8125,2
2.0,0.8612500000000001,2
3.0,0.725,2
2.0,0.82125,2
2.0,0.68625,2
2.0,0.775,2
3.0,0.8125,2
2.0,0.8074999999999999,2
2.0,0.61125,2
3.0,0.8324999999999999,2
3.0,0.82125,2
2.0,0.82125,2
3.0,0.7424999999999999,2
2.0,0.8225,2
3.0,0.8175000000000001,2
2.0,0.66375,2
2.0,0.5175,2
2.0,0.825,2
3.0,0.765,2
3.0,0.6325000000000001,2
3.0,0.72,2
3.0,0.5287499999999999,2
3.0,0.8174999999999999,2
2.0,0.81375,2
3.0,0.6775,2
3.0,0.82875,2
2.0,0.5449999999999999,2
3.0,0.6424999999999998,2
3.0,0.78625,2
3.0,0.7637499999999999,2
2.0,0.83375,2
2.0,0.8149999999999998,2
3.0,0.7862500000000001,2
1.0,0.6812499999999999,3
1.0,0.6812499999999999,3
3.0,0.5237499999999999,3
1.0,0.6812499999999999,3
1.0,0.6812499999999999,3
3.0,0.8724999999999999,3
3.0,0.8737499999999999,3
1.0,0.6812499999999999,3
1.0,0.6812499999999999,3
1.0,0.6812499999999999,3
1.0,0.6812499999999999,3
2.0,0.8699999999999999,3
2.0,0.885,3
2.0,0.865,3
1.0,0.6812499999999999,3
1.0,0.6812499999999999,3
1.0,0.6812499999999999,3
2.0,0.80375,3
2.0,0.7300000000000001,3
2.0,0.8625,3
2.0,0.90625,3
1.0,0.6812499999999999,3
2.0,0.8525,3
2.0,0.90625,3
2.0,0.86625,3
1.0,0.6812499999999999,3
1.0,0.6812499999999999,3
1.0,0.6812499999999999,3
1.0,0.6812499999999999,3
1.0,0.6812499999999999,3
2.0,0.7324999999999998,3
1.0,0.6812499999999999,3
1.0,0.6812499999999999,3
2.0,0.77125,3
3.0,0.8625,3
1.0,0.6812499999999999,3
2.0,0.8787499999999999,3
3.0,0.885,3
1.0,0.6812499999999999,3
2.0,0.8937500000000002,3
2.0,0.5287499999999999,4
1.0,0.7474999999999999,4
2.0,0.6824999999999999,4
3.0,0.8550000000000001,4
1.0,0.7474999999999999,4
1.0,0.7474999999999999,4
1.0,0.49750000000000005,4
1.0,0.7474999999999999,4
1.0,0.5862499999999999,4
1.0,0.7474999999999999,4
2.0,0.85625,4
2.0,0.59625,4
2.0,0.7925,4
2.0,0.70875,4
2.0,0.6675,4
3.0,0.8775000000000001,4
1.0,0.6525000000000001,4
2.0,0.8787499999999999,4
3.0,0.83625,4
1.0,0.6975,4
1.0,0.7474999999999999,4
3.0,0.55125,4
2.0,0.8825,4
2.0,0.8825000000000001,4
3.0,0.8987499999999999,4
2.0,0.5587500000000001,4
2.0,0.8825,4
1.0,0.7474999999999999,4
2.0,0.6249999999999999,4
2.0,0.8612500000000001,4
1.0,0.7474999999999999,4
2.0,0.5337500000000001,4
1.0,0.7474999999999999,4
1.0,0.50875,4
1.0,0.67375,4
2.0,0.70625,4
1.0,0.6187500000000001,4
2.0,0.8825000000000001,4
3.0,0.8800000000000001,4
2.0,0.47250000000000003,4
3.0,0.99,5
1.0,0.68125,5
2.0,0.7212500000000001,5
1.0,0.7049999999999998,5
1.0,0.48375,5
2.0,0.7925,5
2.0,0.8625,5
2.0,0.89125,5
3.0,0.555,5
2.0,0.7662500000000001,5
2.0,0.8049999999999999,5
2.0,0.8637500000000001,5
2.0,0.73,5
3.0,0.70625,5
2.0,0.8625,5
3.0,0.6174999999999999,5
1.0,0.7125,5
1.0,0.7049999999999998,5
1.0,0.7212500000000002,5
1.0,0.7012499999999999,5
3.0,0.86,5
2.0,0.735,5
2.0,0.8862499999999999,5
3.0,0.5312499999999999,5
2.0,0.72875,5
2.0,0.62625,5
2.0,0.885,5
2.0,0.8437500000000002,5
1.0,0.6100000000000001,5
2.0,0.8237500000000001,5
2.0,0.8949999999999999,5
3.0,0.8825,5
2.0,0.5450000000000002,5
3.0,0.65375,5
3.0,0.49375,5
3.0,0.9,5
3.0,0.82875,5
2.0,0.88125,5
2.0,0.5125,5
2.0,0.8737499999999999,5
2.0,0.7162499999999999,6
4.0,0.865,6
3.0,0.9099999999999999,6
1.0,0.6824999999999999,6
2.0,0.7212500000000001,6
2.0,0.8375,6
3.0,0.99,6
1.0,0.8025,6
2.0,0.8375,6
3.0,0.76375,6
3.0,0.9887500000000001,6
1.0,0.48,6
3.0,0.9637499999999999,6
3.0,0.99,6
3.0,0.9087500000000001,6
1.0,0.7112499999999999,6
2.0,0.7274999999999999,6
1.0,0.56375,6
2.0,0.7212500000000002,6
1.0,0.6937500000000001,6
2.0,0.51,6
1.0,0.7212500000000001,6
1.0,0.6824999999999999,6
2.0,0.89,6
2.0,0.5225,6
2.0,0.8375,6
2.0,0.6725,6
2.0,0.5262499999999999,6
3.0,0.99,6
2.0,0.8375,6
4.0,0.9887499999999999,6
2.0,0.8375,6
2.0,0.7125,6
1.0,0.74,6
1.0,0.6562500000000001,6
1.0,0.8025,6
2.0,0.7350000000000001,6
2.0,0.8375,6
1.0,0.71625,6
2.0,0.7212500000000001,6
3.0,0.8987499999999999,7
3.0,0.9875,7
3.0,0.99,7
2.0,0.68625,7
2.0,0.8862500000000001,7
3.0,0.99,7
3.0,0.8787499999999999,7
3.0,0.9887500000000001,7
4.0,0.89,7
4.0,0.94375,7
2.0,0.8462500000000001,7
2.0,0.89,7
2.0,0.7962499999999999,7
2.0,0.8862499999999999,7
2.0,0.68625,7
4.0,0.9887500000000001,7
3.0,0.83375,7
3.0,0.96,7
4.0,0.9875,7
3.0,0.9825000000000002,7
3.0,0.8099999999999999,7
3.0,0.9674999999999999,7
4.0,0.99,7
4.0,0.53,7
3.0,0.50375,7
4.0,0.9837499999999999,7
3.0,0.5175,7
2.0,0.85125,7
3.0,0.8600000000000001,7
4.0,0.9887500000000001,7
2.0,0.88375,7
2.0,0.8300000000000001,7
3.0,0.5025000000000001,7
2.0,0.9587499999999999,7
2.0,0.9174999999999999,7
2.0,0.68625,7
2.0,0.5125,7
3.0,0.52125,7
4.0,0.9887500000000001,7
2.0,0.9075,7
3.0,0.9525,8
2.0,0.95,8
3.0,0.49124999999999996,8
2.0,0.8237500000000001,8
2.0,0.83375,8
2.0,0.595,8
2.0,0.96125,8
3.0,0.9075000000000001,8
4.0,0.94625,8
3.0,0.99,8
4.0,0.705,8
3.0,0.77875,8
3.0,0.9887499999999999,8
3.0,0.9650000000000001,8
3.0,0.7224999999999999,8
3.0,0.58125,8
4.0,0.9875,8
3.0,0.9875,8
3.0,0.54375,8
4.0,0.9875,8
2.0,0.9800000000000001,8
2.0,0.9612499999999999,8
2.0,0.8837499999999998,8
3.0,0.9875,8
2.0,0.51,8
3.0,0.9887500000000001,8
3.0,0.6900000000000001,8
3.0,0.9874999999999998,8
4.0,0.99,8
4.0,0.61375,8
3.0,0.8225000000000001,8
4.0,0.9824999999999999,8
3.0,0.99,8
3.0,0.99,8
2.0,0.88375,8
4.0,0.9862500000000001,8
3.0,0.96875,8
2.0,0.8275,8
2.0,0.94375,8
3.0,0.99,8
2.0,0.9650000000000001,9
1.0,0.7262500000000001,9
3.0,0.49624999999999997,9
1.0,0.7262500000000001,9
3.0,0.5250000000000001,9
1.0,0.7262500000000001,9
3.0,0.9525,9
2.0,0.9674999999999999,9
1.0,0.7262500000000001,9
2.0,0.8099999999999999,9
1.0,0.7262500000000001,9
3.0,0.83375,9
2.0,0.9475,9
3.0,0.9637499999999999,9
2.0,0.9650000000000001,9
1.0,0.7262500000000001,9
2.0,0.9487500000000001,9
2.0,0.5237499999999999,9
2.0,0.96875,9
2.0,0.9537499999999998,9
1.0,0.7262500000000001,9
2.0,0.71,9
2.0,0.9512499999999999,9
2.0,0.62625,9
3.0,0.7925,9
2.0,0.515,9
2.0,0.9712500000000001,9
3.0,0.9487500000000001,9
1.0,0.7262500000000001,9
2.0,0.6224999999999999,9
1.0,0.7262500000000001,9
2.0,0.50625,9
3.0,0.9875,9
1.0,0.7262500000000001,9
1.0,0.7262500000000001,9
2.0,0.9462499999999998,9
3.0,0.9362499999999999,9
2.0,0.9612499999999999,9
3.0,0.9637499999999999,9
1.0,0.7262500000000001,9
3.0,0.94625,10
2.0,0.7137499999999999,10
3.0,0.9625,10
2.0,0.9637500000000001,10
2.0,0.9125,10
2.0,0.65,10
3.0,0.9525,10
3.0,0.9574999999999999,10
2.0,0.92125,10
1.0,0.70375,10
1.0,0.6475,10
3.0,0.8162500000000001,10
1.0,0.53625,10
2.0,0.7212500000000001,10
2.0,0.9625,10
1.0,0.73625,10
2.0,0.49749999999999994,10
2.0,0.7625,10
1.0,0.7037500000000001,10
2.0,0.7625,10
2.0,0.9674999999999999,10
1.0,0.62875,10
1.0,0.63625,10
2.0,0.5325,10
3.0,0.8012500000000001,10
2.0,0.52,10
3.0,0.48374999999999996,10
2.0,0.6812499999999999,10
2.0,0.9650000000000002,10
