level_0,index,pipeline,cv_score,generation,holdout_score,holdout_roc_auc_score,type,upper_ci_holdout,lower_ci_holdout,operator_count
2,24,"RandomForestClassifier(BernoulliNB(RFE(input_matrix, RFE__ExtraTreesClassifier__criterion=entropy, RFE__ExtraTreesClassifier__max_features=0.6500000000000001, RFE__ExtraTreesClassifier__n_estimators=100, RFE__step=1.0), BernoulliNB__alpha=1.0, BernoulliNB__fit_prior=False), RandomForestClassifier__bootstrap=True, RandomForestClassifier__criterion=gini, RandomForestClassifier__max_features=0.8, RandomForestClassifier__min_samples_leaf=8, RandomForestClassifier__min_samples_split=18, RandomForestClassifier__n_estimators=100)",0.9974679487179486,7,1.0,1.0,baseline,1.0,1.0,3
2,10,"RandomForestClassifier(PolynomialFeatures(Binarizer(input_matrix, Binarizer__threshold=0.0), PolynomialFeatures__degree=2, PolynomialFeatures__include_bias=False, PolynomialFeatures__interaction_only=False), RandomForestClassifier__bootstrap=True, RandomForestClassifier__criterion=gini, RandomForestClassifier__max_features=0.6000000000000001, RandomForestClassifier__min_samples_leaf=2, RandomForestClassifier__min_samples_split=6, RandomForestClassifier__n_estimators=100)",0.9975609756097562,4,1.0,1.0,baseline,1.0,1.0,3
0,0,"XGBClassifier(input_matrix, XGBClassifier__learning_rate=0.1, XGBClassifier__max_depth=6, XGBClassifier__min_child_weight=2, XGBClassifier__n_estimators=100, XGBClassifier__n_jobs=1, XGBClassifier__subsample=0.9000000000000001, XGBClassifier__verbosity=0)",0.8787500000000001,0,0.94,0.9892,baseline,0.9729139970225434,0.9070860029774565,1
2,4,"MLPClassifier(RandomForestClassifier(PolynomialFeatures(input_matrix, PolynomialFeatures__degree=2, PolynomialFeatures__include_bias=False, PolynomialFeatures__interaction_only=False), RandomForestClassifier__bootstrap=True, RandomForestClassifier__criterion=entropy, RandomForestClassifier__max_features=0.6500000000000001, RandomForestClassifier__min_samples_leaf=20, RandomForestClassifier__min_samples_split=7, RandomForestClassifier__n_estimators=100), MLPClassifier__alpha=0.1, MLPClassifier__learning_rate_init=0.001)",0.992530487804878,2,0.995,0.9963985594237696,baseline,1.0047754692981974,0.9852245307018026,3
0,1,"RandomForestClassifier(input_matrix, RandomForestClassifier__bootstrap=True, RandomForestClassifier__criterion=entropy, RandomForestClassifier__max_features=1.0, RandomForestClassifier__min_samples_leaf=7, RandomForestClassifier__min_samples_split=20, RandomForestClassifier__n_estimators=100)",0.802104440275172,1,0.84,0.8937173825772782,baseline,0.8908090070755176,0.7891909929244824,1
1,7,"XGBClassifier(PolynomialFeatures(input_matrix, PolynomialFeatures__degree=2, PolynomialFeatures__include_bias=False, PolynomialFeatures__interaction_only=False), XGBClassifier__learning_rate=0.01, XGBClassifier__max_depth=8, XGBClassifier__min_child_weight=1, XGBClassifier__n_estimators=100, XGBClassifier__n_jobs=1, XGBClassifier__subsample=1.0, XGBClassifier__verbosity=0)",0.9949663852407754,3,1.0,0.9876889200280252,baseline,1.0,1.0,2
0,0,"XGBClassifier(input_matrix, XGBClassifier__learning_rate=0.1, XGBClassifier__max_depth=10, XGBClassifier__min_child_weight=1, XGBClassifier__n_estimators=100, XGBClassifier__n_jobs=1, XGBClassifier__subsample=0.9000000000000001, XGBClassifier__verbosity=0)",0.9335983427141964,0,0.95,0.9766158169409876,baseline,0.980205628614548,0.919794371385452,1
2,12,"DecisionTreeClassifier(PolynomialFeatures(Normalizer(input_matrix, Normalizer__norm=l1), PolynomialFeatures__degree=2, PolynomialFeatures__include_bias=False, PolynomialFeatures__interaction_only=False), DecisionTreeClassifier__criterion=gini, DecisionTreeClassifier__max_depth=10, DecisionTreeClassifier__min_samples_leaf=18, DecisionTreeClassifier__min_samples_split=20)",0.9937468730456536,5,1.0,1.0,baseline,1.0,1.0,3
2,9,"DecisionTreeClassifier(PolynomialFeatures(ExtraTreesClassifier(input_matrix, ExtraTreesClassifier__bootstrap=True, ExtraTreesClassifier__criterion=gini, ExtraTreesClassifier__max_features=0.15000000000000002, ExtraTreesClassifier__min_samples_leaf=15, ExtraTreesClassifier__min_samples_split=20, ExtraTreesClassifier__n_estimators=100), PolynomialFeatures__degree=2, PolynomialFeatures__include_bias=False, PolynomialFeatures__interaction_only=False), DecisionTreeClassifier__criterion=entropy, DecisionTreeClassifier__max_depth=9, DecisionTreeClassifier__min_samples_leaf=11, DecisionTreeClassifier__min_samples_split=12)",0.99875,3,1.0,0.9950980392156864,baseline,1.0,1.0,3
0,1,"RandomForestClassifier(input_matrix, RandomForestClassifier__bootstrap=True, RandomForestClassifier__criterion=gini, RandomForestClassifier__max_features=0.9500000000000001, RandomForestClassifier__min_samples_leaf=9, RandomForestClassifier__min_samples_split=9, RandomForestClassifier__n_estimators=100)",0.8255472170106316,1,0.855,0.9476767676767676,baseline,0.9037986864577316,0.8062013135422683,1
2,14,"RandomForestClassifier(GradientBoostingClassifier(PolynomialFeatures(input_matrix, PolynomialFeatures__degree=2, PolynomialFeatures__include_bias=False, PolynomialFeatures__interaction_only=False), GradientBoostingClassifier__learning_rate=0.5, GradientBoostingClassifier__max_depth=9, GradientBoostingClassifier__max_features=0.7500000000000001, GradientBoostingClassifier__min_samples_leaf=10, GradientBoostingClassifier__min_samples_split=15, GradientBoostingClassifier__n_estimators=100, GradientBoostingClassifier__subsample=0.8), RandomForestClassifier__bootstrap=False, RandomForestClassifier__criterion=gini, RandomForestClassifier__max_features=0.7500000000000001, RandomForestClassifier__min_samples_leaf=15, RandomForestClassifier__min_samples_split=7, RandomForestClassifier__n_estimators=100)",0.99125,6,0.995,1.0,baseline,1.0047754692981974,0.9852245307018026,3
3,20,"GradientBoostingClassifier(PolynomialFeatures(VarianceThreshold(OneHotEncoder(input_matrix, OneHotEncoder__minimum_fraction=0.05, OneHotEncoder__sparse=False, OneHotEncoder__threshold=10), VarianceThreshold__threshold=0.2), PolynomialFeatures__degree=2, PolynomialFeatures__include_bias=False, PolynomialFeatures__interaction_only=False), GradientBoostingClassifier__learning_rate=0.5, GradientBoostingClassifier__max_depth=5, GradientBoostingClassifier__max_features=1.0, GradientBoostingClassifier__min_samples_leaf=18, GradientBoostingClassifier__min_samples_split=5, GradientBoostingClassifier__n_estimators=100, GradientBoostingClassifier__subsample=0.6500000000000001)",0.9925594121325828,6,0.985,1.0,baseline,1.0018463111689178,0.9681536888310823,4
1,3,"DecisionTreeClassifier(PolynomialFeatures(input_matrix, PolynomialFeatures__degree=2, PolynomialFeatures__include_bias=False, PolynomialFeatures__interaction_only=False), DecisionTreeClassifier__criterion=entropy, DecisionTreeClassifier__max_depth=8, DecisionTreeClassifier__min_samples_leaf=1, DecisionTreeClassifier__min_samples_split=9)",0.99375,1,1.0,1.0,baseline,1.0,1.0,2
1,4,"XGBClassifier(PolynomialFeatures(input_matrix, PolynomialFeatures__degree=2, PolynomialFeatures__include_bias=False, PolynomialFeatures__interaction_only=False), XGBClassifier__learning_rate=0.1, XGBClassifier__max_depth=3, XGBClassifier__min_child_weight=1, XGBClassifier__n_estimators=100, XGBClassifier__n_jobs=1, XGBClassifier__subsample=1.0, XGBClassifier__verbosity=0)",0.9974679487179486,3,0.99,1.0,baseline,1.0037898223338808,0.9762101776661191,2
1,5,"ExtraTreesClassifier(DecisionTreeClassifier(PolynomialFeatures(input_matrix, PolynomialFeatures__degree=2, PolynomialFeatures__include_bias=False, PolynomialFeatures__interaction_only=False), DecisionTreeClassifier__criterion=gini, DecisionTreeClassifier__max_depth=1, DecisionTreeClassifier__min_samples_leaf=12, DecisionTreeClassifier__min_samples_split=2), ExtraTreesClassifier__bootstrap=False, ExtraTreesClassifier__criterion=entropy, ExtraTreesClassifier__max_features=0.6000000000000001, ExtraTreesClassifier__min_samples_leaf=9, ExtraTreesClassifier__min_samples_split=6, ExtraTreesClassifier__n_estimators=100)",0.9748381801125704,4,0.955,0.9994991987179488,baseline,0.9837308858199673,0.9262691141800327,3
0,2,"GradientBoostingClassifier(input_matrix, GradientBoostingClassifier__learning_rate=0.1, GradientBoostingClassifier__max_depth=10, GradientBoostingClassifier__max_features=1.0, GradientBoostingClassifier__min_samples_leaf=16, GradientBoostingClassifier__min_samples_split=9, GradientBoostingClassifier__n_estimators=100, GradientBoostingClassifier__subsample=0.7000000000000001)",0.8374132270168856,2,0.83,0.9597994987468672,baseline,0.8820600499423502,0.7779399500576497,1
1,13,"DecisionTreeClassifier(PolynomialFeatures(CombineDFs(input_matrix, input_matrix), PolynomialFeatures__degree=2, PolynomialFeatures__include_bias=False, PolynomialFeatures__interaction_only=False), DecisionTreeClassifier__criterion=entropy, DecisionTreeClassifier__max_depth=3, DecisionTreeClassifier__min_samples_leaf=6, DecisionTreeClassifier__min_samples_split=14)",0.996280487804878,6,1.0,0.9948979591836736,baseline,1.0,1.0,2
1,1,"RandomForestClassifier(PolynomialFeatures(input_matrix, PolynomialFeatures__degree=2, PolynomialFeatures__include_bias=False, PolynomialFeatures__interaction_only=False), RandomForestClassifier__bootstrap=True, RandomForestClassifier__criterion=gini, RandomForestClassifier__max_features=0.9000000000000001, RandomForestClassifier__min_samples_leaf=12, RandomForestClassifier__min_samples_split=8, RandomForestClassifier__n_estimators=100)",0.9925273608505316,0,0.995,0.999899183385422,baseline,1.0047754692981974,0.9852245307018026,2
2,7,"RandomForestClassifier(PolynomialFeatures(Normalizer(input_matrix, Normalizer__norm=max), PolynomialFeatures__degree=2, PolynomialFeatures__include_bias=False, PolynomialFeatures__interaction_only=False), RandomForestClassifier__bootstrap=False, RandomForestClassifier__criterion=entropy, RandomForestClassifier__max_features=0.9000000000000001, RandomForestClassifier__min_samples_leaf=4, RandomForestClassifier__min_samples_split=3, RandomForestClassifier__n_estimators=100)",0.9974984365228268,4,1.0,1.0,baseline,1.0,1.0,3
